point_id,sum_assured,age_at_entry,term_y,smoker_status,shape,annual_premium,init_pols_if,extra_mortality,sex
1,861683.5069,39,20,S,level,1,1,0,M
2,568669.7775,53,10,N,decreasing,1,1,0,F
3,832762.1352,46,15,N,level,1,1,0,M
4,718116.2083,30,20,S,level,1,1,0,F
5,987991.6808,23,15,N,decreasing,1,1,0,M
6,585286.6197,46,10,N,level,1,1,0,F
7,819898.6324,36,15,S,level,1,1,0,M
8,621495.3141,20,15,N,decreasing,1,1,0,M
9,835267.9299,37,15,N,level,1,1,0,M
10,343985.4995,42,15,S,level,1,1,0,F
11,253994.0102,52,20,N,decreasing,1,1,0,M
12,620213.6716,58,15,N,level,1,1,0,M
13,73891.96757,44,10,S,level,1,1,0,F
14,74549.25248,39,20,N,decreasing,1,1,0,F
15,594403.1592,51,15,N,level,1,1,0,M
16,837273.8685,22,15,S,level,1,1,0,M
17,987471.7176,24,20,N,decreasing,1,1,0,F
18,293680.9322,35,20,N,level,1,1,0,M
19,61609.67178,23,10,S,level,1,1,0,M
20,349789.3289,57,20,N,decreasing,1,1,0,F
21,649410.2767,56,10,N,level,1,1,0,F
22,685232.4456,53,10,S,level,1,1,0,F
23,357522.8086,50,20,N,decreasing,1,1,0,F
24,815848.8021,53,15,N,level,1,1,0,M
25,886641.7225,28,20,S,level,1,1,0,M
26,290236.2749,49,20,N,decreasing,1,1,0,F
27,197698.9235,45,10,N,level,1,1,0,F
28,34519.67724,48,20,S,level,1,1,0,M
29,703650.6294,40,20,N,decreasing,1,1,0,M
30,807117.7016,30,20,N,level,1,1,0,F
31,553044.591,39,10,S,level,1,1,0,F
32,992889.9561,38,20,N,decreasing,1,1,0,F
33,970966.6898,34,20,N,level,1,1,0,F
34,907860.4775,58,20,S,level,1,1,0,F
35,178194.5878,25,15,N,decreasing,1,1,0,F
36,229257.3921,43,10,N,level,1,1,0,F
37,52166.78447,21,20,S,level,1,1,0,F
38,160967.738,42,10,N,decreasing,1,1,0,F
39,680709.1132,35,15,N,level,1,1,0,F
40,575287.6375,32,20,S,level,1,1,0,M
41,700708.605,28,20,N,decreasing,1,1,0,M
42,435441.1607,26,10,N,level,1,1,0,M
43,859417.2655,56,10,S,level,1,1,0,F
44,749152.7674,42,20,N,decreasing,1,1,0,F
45,965047.2924,41,15,N,level,1,1,0,F
46,449692.9302,59,10,S,level,1,1,0,F
47,518056.4693,25,10,N,decreasing,1,1,0,F
48,317182.558,21,15,N,level,1,1,0,F
49,296280.958,44,10,S,level,1,1,0,F
50,46811.93829,23,10,N,decreasing,1,1,0,F
51,722606.2098,41,10,N,level,1,1,0,F
52,586693.1083,42,15,S,level,1,1,0,F
53,367230.0579,40,15,N,decreasing,1,1,0,M
54,681934.9342,39,15,N,level,1,1,0,F
55,745183.2752,22,10,S,level,1,1,0,M
56,281470.1406,22,10,N,decreasing,1,1,0,M
57,147059.801,47,15,N,level,1,1,0,F
58,229209.6291,35,20,S,level,1,1,0,M
59,104259.0773,37,15,N,decreasing,1,1,0,F
60,968009.3963,20,10,N,level,1,1,0,M
61,491206.856,33,20,S,level,1,1,0,F
62,469020.3738,52,15,N,decreasing,1,1,0,F
63,916754.5939,53,10,N,level,1,1,0,M
64,588652.1324,38,15,S,level,1,1,0,F
65,83826.40538,24,15,N,decreasing,1,1,0,F
66,765901.592,54,10,N,level,1,1,0,F
67,342215.7929,29,10,S,level,1,1,0,F
68,387671.479,51,20,N,decreasing,1,1,0,M
69,394871.64,32,20,N,level,1,1,0,F
70,844546.7873,46,10,S,level,1,1,0,F
71,646509.8933,53,10,N,decreasing,1,1,0,M
72,216554.658,44,15,N,level,1,1,0,M
73,124603.3427,28,15,S,level,1,1,0,F
74,927200.7399,43,15,N,decreasing,1,1,0,F
75,686978.0892,35,20,N,level,1,1,0,M
76,543450.4735,55,15,S,level,1,1,0,F
77,92709.85092,53,10,N,decreasing,1,1,0,F
78,548204.7287,46,20,N,level,1,1,0,F
79,107760.6112,32,10,S,level,1,1,0,M
80,38443.79977,54,20,N,decreasing,1,1,0,F
81,973789.3454,45,20,N,level,1,1,0,M
82,864156.337,48,15,S,level,1,1,0,M
83,85420.44809,58,15,N,decreasing,1,1,0,F
84,678556.5657,58,15,N,level,1,1,0,F
85,157110.6473,41,15,S,level,1,1,0,M
86,103429.3213,42,15,N,decreasing,1,1,0,F
87,342842.3133,28,10,N,level,1,1,0,F
88,130641.6316,48,15,S,level,1,1,0,M
89,175269.3726,52,10,N,decreasing,1,1,0,M
90,779554.9603,40,10,N,level,1,1,0,F
91,688198.8264,50,10,S,level,1,1,0,M
92,258001.7613,58,20,N,decreasing,1,1,0,M
93,691391.0472,41,10,N,level,1,1,0,F
94,693885.0283,50,15,S,level,1,1,0,M
95,917738.9464,20,15,N,decreasing,1,1,0,M
96,990591.1293,43,15,N,level,1,1,0,M
97,274911.2,22,20,S,level,1,1,0,M
98,232784.5156,24,20,N,decreasing,1,1,0,F
99,757648.2876,54,15,N,level,1,1,0,F
100,768005.1449,43,20,S,level,1,1,0,M
101,354863.3447,21,15,N,decreasing,1,1,0,F
102,451681.0474,39,15,N,level,1,1,0,F
103,184674.8857,44,20,S,level,1,1,0,F
104,979396.1663,26,10,N,decreasing,1,1,0,M
105,553987.269,34,15,N,level,1,1,0,F
106,358345.3977,55,20,S,level,1,1,0,M
107,586264.3729,44,15,N,decreasing,1,1,0,M
108,723707.4437,32,10,N,level,1,1,0,M
109,313340.7587,35,20,S,level,1,1,0,M
110,327477.345,35,10,N,decreasing,1,1,0,F
111,618141.495,20,20,N,level,1,1,0,F
112,557377.3653,26,10,S,level,1,1,0,F
113,823713.3052,48,20,N,decreasing,1,1,0,M
114,263569.508,44,10,N,level,1,1,0,F
115,953315.0918,41,15,S,level,1,1,0,F
116,188245.6427,29,15,N,decreasing,1,1,0,M
117,76592.55715,47,10,N,level,1,1,0,F
118,924265.4346,30,15,S,level,1,1,0,F
119,921846.5141,27,10,N,decreasing,1,1,0,F
120,360559.6487,41,15,N,level,1,1,0,M
121,151022.8488,53,10,S,level,1,1,0,F
122,306672.8012,20,20,N,decreasing,1,1,0,F
123,980705.6829,57,10,N,level,1,1,0,M
124,246124.0058,49,15,S,level,1,1,0,F
125,918124.4564,34,10,N,decreasing,1,1,0,F
126,178163.6477,53,15,N,level,1,1,0,F
127,395559.5087,58,20,S,level,1,1,0,F
128,410019.3262,35,20,N,decreasing,1,1,0,F
129,907225.0923,24,20,N,level,1,1,0,M
130,102935.1812,32,10,S,level,1,1,0,F
131,895890.5492,34,15,N,decreasing,1,1,0,M
132,806479.1541,32,15,N,level,1,1,0,F
133,948520.0408,59,20,S,level,1,1,0,M
134,758935.1185,50,15,N,decreasing,1,1,0,F
135,709409.9603,50,15,N,level,1,1,0,M
136,834979.8908,27,10,S,level,1,1,0,M
137,269472.4231,40,15,N,decreasing,1,1,0,M
138,479411.1185,44,20,N,level,1,1,0,M
139,502768.1978,23,10,S,level,1,1,0,M
140,422922.549,25,20,N,decreasing,1,1,0,M
141,355018.4427,41,10,N,level,1,1,0,F
142,588514.5626,32,15,S,level,1,1,0,F
143,742243.2211,28,10,N,decreasing,1,1,0,M
144,478656.21,56,15,N,level,1,1,0,M
